year_month,max_confirmed,max_deaths,max_vaccinated,avg_stringency
2020-03,2311,33,0,56.62249999999998
2020-04,12877,644,0,84.19699999999996
2020-05,23786,1064,0,81.53838709677419
2020-06,34393,1463,0,57.77766666666668
2020-07,45688,1716,0,42.67967741935481
2020-08,67372,2039,0,39.80999999999997
2020-09,91514,2513,0,30.493999999999993
2020-10,362731,5631,0,43.088064516129016
2020-11,990811,17150,0,74.26
2020-12,1294878,28554,47600,75.17935483870967
2021-01,1513385,37180,976367,73.5083870967742
2021-02,1706986,43769,2149607,71.43214285714284
2021-03,2321717,53045,4231313,72.0432258064516
2021-04,2792142,67502,8597875,74.13766666666669
2021-05,2872283,73745,13707350,63.80032258064515
2021-06,2879912,75021,16890799,52.620000000000026
2021-07,2882939,75261,18332060,43.54483870967746
2021-08,2888670,75345,19284686,38.89000000000001
2021-09,2907071,75650,19813605,38.89
2021-10,3025247,76999,20248449,38.89000000000001
2021-11,3540061,83583,20829997,41.76233333333334
2021-12,4108215,97054,21673668,47.54838709677418
2022-01,4886154,105194,22320403,45.36870967741937
2022-02,5667054,111317,22519535,44.31285714285715
2022-03,5962931,115173,22589179,22.87516129032258
2022-04,5996514,116059,22670819,14.81
2022-05,6007584,116318,22722506,14.81
2022-06,6014992,116424,22735503,14.81
2022-07,6069665,116570,22749710,14.81
2022-08,6176885,117093,22770061,12.303548387096772
2022-09,6293558,117569,22786886,9.259999999999996
2022-10,6340435,118124,22805660,9.259999999999996
2022-11,6352755,118319,22828015,9.259999999999996
2022-12,6368479,118533,22850777,9.259999999999996
2023-01,6379391,118727,22867577,0.0
2023-02,6419480,118884,22870409,0.0
2023-03,6444960,119010,22870929,0.0
